name,triangles,center_x,center_y,center_z,size_x,size_y,size_z,exported_stl
end_link_part_01_tris_9050,9050,-0.073477,-0.014800,-0.007500,0.004265,0.003086,0.003086,E:\reBot-DevArm-main\reBotArm_simulator\split_meshes\end_link\end_link_part_01_tris_9050.stl
end_link_part_02_tris_9050,9050,-0.073477,0.014800,0.007500,0.004265,0.003086,0.003086,E:\reBot-DevArm-main\reBotArm_simulator\split_meshes\end_link\end_link_part_02_tris_9050.stl
end_link_part_03_tris_8744,8744,-0.073477,-0.024800,-0.007500,0.004265,0.003086,0.003086,E:\reBot-DevArm-main\reBotArm_simulator\split_meshes\end_link\end_link_part_03_tris_8744.stl
end_link_part_04_tris_8744,8744,-0.073477,0.024800,0.007500,0.004265,0.003086,0.003086,E:\reBot-DevArm-main\reBotArm_simulator\split_meshes\end_link\end_link_part_04_tris_8744.stl
end_link_part_05_tris_8706,8706,-0.073451,-0.024860,0.007541,0.004316,0.003206,0.003168,E:\reBot-DevArm-main\reBotArm_simulator\split_meshes\end_link\end_link_part_05_tris_8706.stl
end_link_part_06_tris_8706,8706,-0.073477,0.024800,-0.007500,0.004265,0.003086,0.003086,E:\reBot-DevArm-main\reBotArm_simulator\split_meshes\end_link\end_link_part_06_tris_8706.stl
end_link_part_07_tris_8614,8614,-0.073477,-0.014800,0.007500,0.004265,0.003086,0.003086,E:\reBot-DevArm-main\reBotArm_simulator\split_meshes\end_link\end_link_part_07_tris_8614.stl
end_link_part_08_tris_8614,8614,-0.073477,0.014800,-0.007500,0.004265,0.003086,0.003086,E:\reBot-DevArm-main\reBotArm_simulator\split_meshes\end_link\end_link_part_08_tris_8614.stl
end_link_part_09_tris_2338,2338,-0.090709,0.000000,0.000000,0.018000,0.017997,0.017997,E:\reBot-DevArm-main\reBotArm_simulator\split_meshes\end_link\end_link_part_09_tris_2338.stl
end_link_part_10_tris_2212,2212,-0.077357,0.000000,0.000000,0.006504,0.170000,0.009000,E:\reBot-DevArm-main\reBotArm_simulator\split_meshes\end_link\end_link_part_10_tris_2212.stl
end_link_part_11_tris_2184,2184,-0.097459,0.000000,0.000000,0.009500,0.034987,0.034947,E:\reBot-DevArm-main\reBotArm_simulator\split_meshes\end_link\end_link_part_11_tris_2184.stl
end_link_part_12_tris_2148,2148,-0.085609,0.013650,-0.013206,0.006000,0.089999,0.012002,E:\reBot-DevArm-main\reBotArm_simulator\split_meshes\end_link\end_link_part_12_tris_2148.stl
end_link_part_13_tris_2148,2148,-0.085609,-0.013650,0.013206,0.006000,0.089999,0.012002,E:\reBot-DevArm-main\reBotArm_simulator\split_meshes\end_link\end_link_part_13_tris_2148.stl
end_link_part_14_tris_1610,1610,-0.101709,0.000000,0.000000,0.003000,0.176285,0.068466,E:\reBot-DevArm-main\reBotArm_simulator\split_meshes\end_link\end_link_part_14_tris_1610.stl
end_link_part_15_tris_1142,1142,-0.032405,0.015661,0.000013,0.064809,0.031378,0.039214,E:\reBot-DevArm-main\reBotArm_simulator\split_meshes\end_link\end_link_part_15_tris_1142.stl
